Video_File,Creation_Time,Label,Start_Time,End_Time,Real_Start_Time,Real_End_Time
OutSense-036GX040233.MP4,2024-02-06 10:49:02,sit_bed_to_wheelchair,207.0,246.0,2024-02-06 11:52:31.000000,2024-02-06 11:53:10.003198
OutSense-036GX040233.MP4,2024-02-06 10:49:02,self_propulsion,267.0,278.0,2024-02-06 11:53:31.004920,2024-02-06 11:53:42.005821
OutSense-036GX040233.MP4,2024-02-06 10:49:02,conversation,279.0,753.0,2024-02-06 11:53:43.005903,2024-02-06 12:01:37.044767
OutSense-036GX050233.MP4,2024-02-06 11:01:35,self_propulsion_and_conversation,144.0,169.0,2024-02-06 12:04:01.056574,2024-02-06 12:04:26.058624
OutSense-036GX050233.MP4,2024-02-06 11:01:35,conversation,0.0,143.0,2024-02-06 12:01:37.044767,2024-02-06 12:04:00.056492
OutSense-036GX050233.MP4,2024-02-06 11:01:35,conversation,170.0,205.0,2024-02-06 12:04:27.058706,2024-02-06 12:05:02.061576
OutSense-036GX050233.MP4,2024-02-06 11:01:35,conversation,245.0,357.0,2024-02-06 12:05:42.064855,2024-02-06 12:07:34.074039
OutSense-036GX050233.MP4,2024-02-06 11:01:35,conversation,364.0,377.0,2024-02-06 12:07:41.074612,2024-02-06 12:07:54.075678
OutSense-036GX050233.MP4,2024-02-06 11:01:35,conversation,423.0,646.0,2024-02-06 12:08:40.079450,2024-02-06 12:12:23.097734
OutSense-036GX050233.MP4,2024-02-06 11:01:35,conversation,656.0,665.0,2024-02-06 12:12:33.098554,2024-02-06 12:12:42.099292
OutSense-036GX050233.MP4,2024-02-06 11:01:35,self_propulsion,206.0,243.0,2024-02-06 12:05:03.061658,2024-02-06 12:05:40.064692
OutSense-036GX050233.MP4,2024-02-06 11:01:35,self_propulsion,358.0,361.0,2024-02-06 12:07:35.074121,2024-02-06 12:07:38.074367
OutSense-036GX050233.MP4,2024-02-06 11:01:35,self_propulsion,378.0,410.0,2024-02-06 12:07:55.075760,2024-02-06 12:08:27.078384
OutSense-036GX050233.MP4,2024-02-06 11:01:35,self_propulsion,415.0,421.0,2024-02-06 12:08:32.078794,2024-02-06 12:08:38.079286
OutSense-036GX050233.MP4,2024-02-06 11:01:35,self_propulsion,648.0,654.0,2024-02-06 12:12:25.097898,2024-02-06 12:12:31.098390
OutSense-036GX050233.MP4,2024-02-06 11:01:35,sitting_wheelchair,665.0,708.0,2024-02-06 12:12:42.099292,2024-02-06 12:13:25.102818
OutSense-036GX060233.MP4,2024-02-06 11:13:25,sitting_wheelchair,0.0,15.0,2024-02-06 12:13:27.102982,2024-02-06 12:13:42.104211
OutSense-036GX060233.MP4,2024-02-06 11:13:25,sitting_wheelchair,50.0,70.0,2024-02-06 12:14:17.107081,2024-02-06 12:14:37.108721
OutSense-036GX060233.MP4,2024-02-06 11:13:25,conversation,15.0,50.0,2024-02-06 12:13:42.104211,2024-02-06 12:14:17.107081
OutSense-036GX060233.MP4,2024-02-06 11:13:25,conversation,70.0,125.0,2024-02-06 12:14:37.108721,2024-02-06 12:15:32.113230
OutSense-036GX060233.MP4,2024-02-06 11:13:25,conversation,146.0,167.0,2024-02-06 12:15:53.114952,2024-02-06 12:16:14.116674
OutSense-036GX060233.MP4,2024-02-06 11:13:25,conversation,203.0,708.0,2024-02-06 12:16:50.119626,2024-02-06 12:25:15.161032
OutSense-036GX060233.MP4,2024-02-06 11:13:25,self_propulsion,168.0,202.0,2024-02-06 12:16:15.116756,2024-02-06 12:16:49.119544
OutSense-036GX060233.MP4,2024-02-06 11:13:25,self_propulsion_and_conversation,125.0,146.0,2024-02-06 12:15:32.113230,2024-02-06 12:15:53.114952
OutSense-036GX070233.MP4,2024-02-06 11:25:13,conversation,0.0,708.0,2024-02-06 12:25:15.161032,2024-02-06 12:37:03.219082
OutSense-036GX080233.MP4,2024-02-06 11:37:01,conversation,0.0,286.0,2024-02-06 12:37:03.219082,2024-02-06 12:41:49.242532
OutSense-036GX080233.MP4,2024-02-06 11:37:01,conversation,423.0,648.0,2024-02-06 12:44:06.253764,2024-02-06 12:47:51.272213
OutSense-036GX080233.MP4,2024-02-06 11:37:01,conversation,658.0,708.0,2024-02-06 12:48:01.273032,2024-02-06 12:48:51.277132
OutSense-036GX080233.MP4,2024-02-06 11:37:01,self_propulsion,287.0,291.0,2024-02-06 12:41:50.242613,2024-02-06 12:41:54.242941
OutSense-036GX080233.MP4,2024-02-06 11:37:01,self_propulsion,416.0,422.0,2024-02-06 12:43:59.253190,2024-02-06 12:44:05.253682
OutSense-036GX080233.MP4,2024-02-06 11:37:01,take_off_clothes,303.0,312.0,2024-02-06 12:42:06.243925,2024-02-06 12:42:15.244663
OutSense-036GX080233.MP4,2024-02-06 11:37:01,arm_sleeve,295.0,299.0,2024-02-06 12:41:58.243269,2024-02-06 12:42:02.243597
OutSense-036GX080233.MP4,2024-02-06 11:37:01,arm_sleeve,321.0,325.0,2024-02-06 12:42:24.245401,2024-02-06 12:42:28.245729
OutSense-036GX080233.MP4,2024-02-06 11:37:01,sitting_wheelchair,345.0,406.0,2024-02-06 12:42:48.247369,2024-02-06 12:43:49.252370
OutSense-036GX080233.MP4,2024-02-06 11:37:01,pressure_relief,649.0,651.0,2024-02-06 12:47:52.272295,2024-02-06 12:47:54.272458
OutSense-036GX090233.MP4,2024-02-06 11:48:51,conversation,0.0,47.0,2024-02-06 12:48:53.277296,2024-02-06 12:49:40.281150
OutSense-036GX090233.MP4,2024-02-06 11:48:51,conversation,54.0,70.0,2024-02-06 12:49:47.281723,2024-02-06 12:50:03.283035
OutSense-036GX090233.MP4,2024-02-06 11:48:51,conversation,187.0,426.0,2024-02-06 12:52:00.292628,2024-02-06 12:55:59.312224
OutSense-036GX090233.MP4,2024-02-06 11:48:51,conversation,530.0,569.0,2024-02-06 12:57:43.320751,2024-02-06 12:58:22.323949
OutSense-036GX090233.MP4,2024-02-06 11:48:51,self_propulsion,70.0,137.0,2024-02-06 12:50:03.283035,2024-02-06 12:51:10.288529
OutSense-036GX090233.MP4,2024-02-06 11:48:51,self_propulsion,148.0,159.0,2024-02-06 12:51:21.289431,2024-02-06 12:51:32.290333
OutSense-036GX090233.MP4,2024-02-06 11:48:51,self_propulsion,167.0,185.0,2024-02-06 12:51:40.290988,2024-02-06 12:51:58.292464
OutSense-036GX090233.MP4,2024-02-06 11:48:51,self_propulsion,427.0,450.0,2024-02-06 12:56:00.312306,2024-02-06 12:56:23.314192
OutSense-036GX090233.MP4,2024-02-06 11:48:51,self_propulsion,465.0,522.0,2024-02-06 12:56:38.315422,2024-02-06 12:57:35.320096
OutSense-036GX090233.MP4,2024-02-06 11:48:51,self_propulsion,646.0,683.0,2024-02-06 12:59:39.330263,2024-02-06 13:00:16.333296
OutSense-036GX090233.MP4,2024-02-06 11:48:51,sitting_wheelchair,569.0,644.0,2024-02-06 12:58:22.323949,2024-02-06 12:59:37.330099
OutSense-036GX090233.MP4,2024-02-06 11:48:51,sit_to_wheelchair,47.0,53.0,2024-02-06 12:49:40.281150,2024-02-06 12:49:46.281641
OutSense-036GX090233.MP4,2024-02-06 11:48:51,bending,684.0,690.0,2024-02-06 13:00:17.333378,2024-02-06 13:00:23.333870
OutSense-036GX090233.MP4,2024-02-06 11:48:51,bending,694.0,701.0,2024-02-06 13:00:27.334198,2024-02-06 13:00:34.334772
OutSense-036GX100233.MP4,2024-02-06 12:00:39,conversation,0.0,359.0,2024-02-06 13:00:41.335346,2024-02-06 13:06:40.364781
OutSense-036GX100233.MP4,2024-02-06 12:00:39,conversation,410.0,439.0,2024-02-06 13:07:31.368963,2024-02-06 13:08:00.371340
OutSense-036GX100233.MP4,2024-02-06 12:00:39,conversation,460.0,479.0,2024-02-06 13:08:21.373062,2024-02-06 13:08:40.374620
OutSense-036GX100233.MP4,2024-02-06 12:00:39,conversation,484.0,708.0,2024-02-06 13:08:45.375030,2024-02-06 13:12:29.393396
OutSense-036GX100233.MP4,2024-02-06 12:00:39,self_propulsion,384.0,406.0,2024-02-06 13:07:05.366831,2024-02-06 13:07:27.368635
OutSense-036GX100233.MP4,2024-02-06 12:00:39,self_propulsion,441.0,455.0,2024-02-06 13:08:02.371504,2024-02-06 13:08:16.372652
OutSense-036GX100233.MP4,2024-02-06 12:00:39,sit_to_wheelchair,359.0,384.0,2024-02-06 13:06:40.364781,2024-02-06 13:07:05.366831
OutSense-036GX100233.MP4,2024-02-06 12:00:39,sit_to_wheelchair,479.0,483.0,2024-02-06 13:08:40.374620,2024-02-06 13:08:44.374948
OutSense-036GX100233.MP4,2024-02-06 12:00:39,bending,456.0,459.0,2024-02-06 13:08:17.372734,2024-02-06 13:08:20.372980
OutSense-036GX110233.MP4,2024-02-06 12:12:27,conversation,0.0,708.0,2024-02-06 13:12:29.393396,2024-02-06 13:24:17.451446
OutSense-036GX120233.MP4,2024-02-06 12:24:17,conversation,0.0,535.0,2024-02-06 13:24:19.451610,2024-02-06 13:33:14.495476
OutSense-036GX120233.MP4,2024-02-06 12:24:17,conversation,683.0,708.0,2024-02-06 13:35:42.507611,2024-02-06 13:36:07.509660
OutSense-036GX120233.MP4,2024-02-06 12:24:17,arm_raises,545.0,600.0,2024-02-06 13:33:24.496296,2024-02-06 13:34:19.500805
OutSense-036GX120233.MP4,2024-02-06 12:24:17,self_propulsion,607.0,626.0,2024-02-06 13:34:26.501379,2024-02-06 13:34:45.502937
OutSense-036GX120233.MP4,2024-02-06 12:24:17,self_propulsion,665.0,676.0,2024-02-06 13:35:24.506135,2024-02-06 13:35:35.507037
OutSense-036GX120233.MP4,2024-02-06 12:24:17,wheelchair_to_bed,641.0,644.0,2024-02-06 13:35:00.504167,2024-02-06 13:35:03.504413
OutSense-036GX120233.MP4,2024-02-06 12:24:17,sit_bed_to_wheelchair,655.0,662.0,2024-02-06 13:35:14.505315,2024-02-06 13:35:21.505889
OutSense-036GX120233.MP4,2024-02-06 12:24:17,pressure_relief,627.0,629.0,2024-02-06 13:34:46.503019,2024-02-06 13:34:48.503183
OutSense-036GX120233.MP4,2024-02-06 12:24:17,pressure_relief,677.0,683.0,2024-02-06 13:35:36.507119,2024-02-06 13:35:42.507611
OutSense-036GX130233.MP4,2024-02-06 12:36:05,conversation,0.0,156.0,2024-02-06 13:36:07.509660,2024-02-06 13:38:43.522451
OutSense-036GX130233.MP4,2024-02-06 12:36:05,conversation,320.0,404.0,2024-02-06 13:41:27.535898,2024-02-06 13:42:51.542785
OutSense-036GX130233.MP4,2024-02-06 12:36:05,conversation,503.0,520.0,2024-02-06 13:44:30.550902,2024-02-06 13:44:47.552296
OutSense-036GX130233.MP4,2024-02-06 12:36:05,sitting_wheelchair,442.0,502.0,2024-02-06 13:43:29.545901,2024-02-06 13:44:29.550820
OutSense-036GX130233.MP4,2024-02-06 12:36:05,self_propulsion,174.0,197.0,2024-02-06 13:39:01.523927,2024-02-06 13:39:24.525813
OutSense-036GX130233.MP4,2024-02-06 12:36:05,self_propulsion,278.0,287.0,2024-02-06 13:40:45.532454,2024-02-06 13:40:54.533192
OutSense-036GX130233.MP4,2024-02-06 12:36:05,self_propulsion,296.0,307.0,2024-02-06 13:41:03.533930,2024-02-06 13:41:14.534832
OutSense-036GX130233.MP4,2024-02-06 12:36:05,self_propulsion,423.0,438.0,2024-02-06 13:43:10.544343,2024-02-06 13:43:25.545573
